date,symbol,close,adj_close,price_used,price_basis,sma_50,sma_200,ema_20,macd,macd_signal,macd_histogram,volume,rsi_14,volume_avg_20,volume_spike_ratio,volume_spike,ema_20_reclaim,screen_rule_pass
2025-07-16,ABG.JO,17521.00,17513.72,17513.72,adj_close,17311.12,,17554.98,51.24,92.83,-41.59,4345329.00,49.12,2932876.10,1.48,normal,false,
2025-07-17,ABG.JO,17546.00,17538.71,17538.71,adj_close,17325.84,,17553.43,44.40,83.14,-38.74,2859518.00,49.68,2827958.40,1.01,normal,false,
2025-07-18,ABG.JO,17776.00,17768.61,17768.61,adj_close,17349.43,,17573.93,56.88,77.89,-21.01,3278971.00,54.67,2732526.20,1.20,normal,true,
2025-07-21,ABG.JO,17650.00,17642.66,17642.66,adj_close,17370.46,,17580.47,55.95,73.50,-17.55,1600321.00,51.65,2717461.70,0.59,normal,false,
2025-07-22,ABG.JO,17430.00,17422.76,17422.76,adj_close,17380.17,,17565.45,37.05,66.21,-29.16,1790168.00,46.79,2731999.90,0.66,normal,false,
2025-07-23,ABG.JO,17539.00,17531.71,17531.71,adj_close,17390.31,,17562.24,30.51,59.07,-28.56,2178105.00,49.33,2684570.90,0.81,normal,false,
2025-07-24,ABG.JO,17650.00,17642.66,17642.66,adj_close,17407.24,,17569.90,33.89,54.04,-20.14,1532710.00,51.86,2629977.25,0.58,normal,true,
2025-07-25,ABG.JO,17481.00,17473.73,17473.73,adj_close,17416.84,,17560.74,22.68,47.77,-25.09,1559935.00,47.94,2381093.20,0.66,normal,false,
2025-07-28,ABG.JO,17639.00,17631.67,17631.67,adj_close,17427.71,,17567.49,26.23,43.46,-17.23,1863788.00,51.62,2367940.50,0.79,normal,true,
2025-07-29,ABG.JO,17784.00,17776.61,17776.61,adj_close,17448.65,,17587.41,40.28,42.82,-2.54,2806538.00,54.78,2399533.50,1.17,normal,false,
2025-07-30,ABG.JO,17882.00,17874.57,17874.57,adj_close,17471.76,,17614.76,58.64,45.99,12.66,1933544.00,56.83,2381789.55,0.81,normal,false,
2025-07-31,ABG.JO,18045.00,18037.50,18037.50,adj_close,17496.31,,17655.02,85.36,53.86,31.50,3018840.00,60.07,2317880.95,1.30,normal,false,
2025-08-01,ABG.JO,17870.00,17862.57,17862.57,adj_close,17520.08,,17674.79,91.36,61.36,30.00,2317099.00,55.27,2366946.80,0.98,normal,false,
2025-08-04,ABG.JO,17943.00,17935.54,17935.54,adj_close,17544.45,,17699.62,100.84,69.26,31.59,2956672.00,56.82,2441422.55,1.21,normal,false,
2025-08-05,ABG.JO,17770.00,17762.62,17762.62,adj_close,17562.94,,17705.62,93.33,74.07,19.26,2374083.00,52.20,2454381.65,0.97,normal,false,
2025-08-06,ABG.JO,17799.00,17791.60,17791.60,adj_close,17581.95,,17713.81,88.69,77.00,11.70,1346200.00,52.89,2414628.60,0.56,normal,false,
2025-08-07,ABG.JO,17757.00,17749.62,17749.62,adj_close,17591.09,,17717.22,80.70,77.74,2.96,1839824.00,51.73,2359965.75,0.78,normal,false,
2025-08-08,ABG.JO,17756.00,17748.62,17748.62,adj_close,17594.62,,17720.21,73.44,76.88,-3.44,3867336.00,51.70,2393580.75,1.62,spike,false,
2025-08-11,ABG.JO,18073.00,18065.49,18065.49,adj_close,17609.44,,17753.09,92.19,79.94,12.25,4326587.00,59.51,2489057.50,1.74,spike,false,
2025-08-12,ABG.JO,18387.00,18379.36,18379.36,adj_close,17633.03,,17812.74,130.87,90.12,40.74,3423266.00,65.47,2560941.70,1.34,normal,false,
2025-08-13,ABG.JO,18860.00,18852.16,18852.16,adj_close,17664.90,,17911.73,197.39,111.58,85.82,3537566.00,72.12,2520553.55,1.40,normal,false,
2025-08-14,ABG.JO,19068.00,19060.07,19060.07,adj_close,17697.30,,18021.10,263.85,142.03,121.82,4703939.00,74.45,2612774.60,1.80,spike,false,
2025-08-15,ABG.JO,19072.00,19064.07,19064.07,adj_close,17730.23,,18120.43,313.23,176.27,136.96,3385140.00,74.50,2618083.05,1.29,normal,false,
2025-08-18,ABG.JO,18915.00,18907.14,18907.14,adj_close,17751.92,,18195.35,335.84,208.19,127.65,3096253.00,69.42,2692879.65,1.15,normal,false,
2025-08-19,ABG.JO,18830.00,18822.17,18822.17,adj_close,17771.51,,18255.05,342.94,235.14,107.80,1934717.00,66.77,2700107.10,0.72,normal,false,
2025-08-20,ABG.JO,18745.00,18737.21,18737.21,adj_close,17787.92,,18300.97,337.82,255.67,82.14,1689646.00,64.13,2675684.15,0.63,normal,false,
2025-08-21,ABG.JO,18721.00,18713.22,18713.22,adj_close,17810.03,,18340.23,328.04,270.15,57.89,1731909.00,63.37,2685644.10,0.64,normal,false,
2025-08-22,ABG.JO,19316.00,19307.97,19307.97,adj_close,17841.66,,18432.40,364.09,288.93,75.15,3800074.00,72.19,2797651.05,1.36,normal,false,
2025-08-25,ABG.JO,19235.00,19227.01,19227.01,adj_close,17881.79,,18508.07,381.72,307.49,74.23,2782052.00,69.73,2843564.25,0.98,normal,false,
2025-08-26,ABG.JO,18875.00,18867.15,18867.15,adj_close,17911.81,,18542.27,362.48,318.49,43.99,3862761.00,59.95,2896375.40,1.33,normal,false,
2025-08-27,ABG.JO,18758.00,18750.20,18750.20,adj_close,17941.24,,18562.07,333.95,321.58,12.36,1972808.00,57.14,2898338.60,0.68,normal,false,
2025-08-28,ABG.JO,19169.00,19161.03,19161.03,adj_close,17977.83,,18619.12,340.56,325.38,15.18,2752225.00,63.59,2885007.85,0.95,normal,false,
2025-08-29,ABG.JO,18880.00,18872.15,18872.15,adj_close,18009.73,,18643.22,318.81,324.06,-5.25,1752783.00,57.09,2856792.05,0.61,normal,false,
2025-09-01,ABG.JO,18859.00,18851.16,18851.16,adj_close,18045.40,,18663.02,296.46,318.54,-22.08,1438044.00,56.64,2780860.65,0.52,normal,false,
2025-09-02,ABG.JO,18771.00,18763.20,18763.20,adj_close,18067.53,,18672.56,268.56,308.55,-39.98,2346253.00,54.68,2779469.15,0.84,normal,false,
2025-09-03,ABG.JO,18500.00,18492.31,18492.31,adj_close,18091.92,,18655.39,222.03,291.24,-69.21,2244985.00,49.05,2824408.40,0.79,normal,false,
